geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000185271.8	KLHL33	protein_coding	protein_coding	1	4	5	1	0	0	0	0	0	0
ENSG00000185272.13	RBM11	protein_coding	protein_coding	4	14	7	10	15	6	7	12	19	45
ENSG00000185274.11	GALNT17	protein_coding	protein_coding	176	237	185	50	58	50	65	40	73	175
ENSG00000185278.15	ZBTB37	protein_coding	protein_coding	37	54	46	90	102	85	102	67	126	459
ENSG00000185290.3	NUPR2	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185291.11	IL3RA	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185294.6	SPPL2C	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185298.12	CCDC137	protein_coding	protein_coding	83	86	73	41	55	43	62	37	65	359
ENSG00000185303.16	SFTPA2	protein_coding	protein_coding	1	1	1	1	1	0	0	0	3	0
ENSG00000185304.14	RGPD2	protein_coding	protein_coding	1	2	2	8	6	7	6	3	10	27
ENSG00000185305.10	ARL15	protein_coding	protein_coding	28	39	31	35	22	35	36	20	29	114
ENSG00000185306.12	C12orf56	protein_coding	protein_coding	8	9	5	0	2	4	2	0	1	34
ENSG00000185313.7	SCN10A	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185324.21	CDK10	protein_coding	protein_coding	82	95	106	117	122	117	134	72	139	489
ENSG00000185332.7	TMEM105	protein_coding	protein_coding	0	0	0	3	5	1	1	1	1	1
ENSG00000185338.5	SOCS1	protein_coding	protein_coding	31	22	22	8	12	8	15	2	6	13
ENSG00000185339.8	TCN2	protein_coding	protein_coding	275	263	259	230	238	223	260	53	94	418
ENSG00000185340.15	GAS2L1	protein_coding	protein_coding	26	39	25	19	17	22	25	8	16	167
ENSG00000185344.13	ATP6V0A2	protein_coding	protein_coding	79	88	84	51	36	53	52	45	75	416
ENSG00000185345.20	PRKN	protein_coding	protein_coding	3	5	8	12	17	7	15	13	15	106
ENSG00000185347.17	TEDC1	protein_coding	protein_coding	20	18	20	5	9	6	6	8	8	111
ENSG00000185352.8	HS6ST3	protein_coding	protein_coding	4	6	0	2	3	3	2	3	8	27
ENSG00000185359.12	HGS	protein_coding	protein_coding	134	148	131	160	185	182	225	102	168	924
ENSG00000185361.8	TNFAIP8L1	protein_coding	protein_coding	31	41	31	11	9	12	15	18	23	156
ENSG00000185372.3	OR2V1	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185379.20	RAD51D	protein_coding	protein_coding	36	32	31	9	27	15	33	19	23	136
ENSG00000185385.4	OR7A17	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185386.14	MAPK11	protein_coding	protein_coding	23	33	28	31	47	37	39	56	79	379
ENSG00000185404.16	SP140L	protein_coding	protein_coding	23	29	29	57	67	51	65	17	30	210
ENSG00000185414.19	MRPL30	protein_coding	protein_coding	89	111	84	87	79	85	86	56	85	468
ENSG00000185418.15	TARSL2	protein_coding	protein_coding	42	38	39	59	53	57	76	56	87	226
ENSG00000185420.18	SMYD3	protein_coding	protein_coding	38	36	38	72	58	66	76	46	46	441
ENSG00000185432.11	METTL7A	protein_coding	protein_coding	191	216	218	11	13	13	11	10	14	140
ENSG00000185433.8	LINC00158	lncRNA	lincRNA	0	0	0	0	0	0	0	0	0	0
ENSG00000185436.11	IFNLR1	protein_coding	protein_coding	20	25	24	7	3	2	4	3	5	29
ENSG00000185437.13	SH3BGR	protein_coding	protein_coding	2	3	2	2	0	3	1	2	4	6
ENSG00000185442.12	FAM174B	protein_coding	protein_coding	45	54	31	35	41	22	37	33	61	77
ENSG00000185448.10	FAM47A	protein_coding	protein_coding	0	0	0	1	0	0	0	0	0	1
ENSG00000185453.12	ZSWIM9	protein_coding	protein_coding	33	26	16	14	23	15	22	27	40	119
ENSG00000185467.7	KPNA7	protein_coding	protein_coding	0	1	0	0	1	0	0	0	0	0
ENSG00000185475.10	TMEM179B	protein_coding	protein_coding	26	16	17	41	33	25	37	16	34	164
ENSG00000185477.4	GPRIN3	protein_coding	protein_coding	9	5	6	5	3	4	7	5	6	89
ENSG00000185479.5	KRT6B	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185480.11	PARPBP	protein_coding	protein_coding	29	38	32	14	8	6	7	4	10	109
ENSG00000185482.7	STAC3	protein_coding	protein_coding	9	17	9	2	9	5	8	7	9	20
ENSG00000185483.11	ROR1	protein_coding	protein_coding	33	47	48	28	30	31	24	20	26	168
ENSG00000185499.16	MUC1	protein_coding	protein_coding	14	12	14	20	22	18	21	23	21	60
ENSG00000185504.16	FAAP100	protein_coding	protein_coding	87	85	75	79	103	76	104	64	95	567
ENSG00000185507.20	IRF7	protein_coding	protein_coding	24	18	20	18	37	38	46	19	31	112
ENSG00000185513.16	L3MBTL1	protein_coding	protein_coding	55	57	55	84	112	103	123	70	83	241
ENSG00000185515.14	BRCC3	protein_coding	protein_coding	34	46	35	19	34	36	44	24	33	334
ENSG00000185518.11	SV2B	protein_coding	protein_coding	4	2	4	3	6	3	1	10	11	3
ENSG00000185519.8	FAM131C	protein_coding	protein_coding	1	1	0	5	9	7	11	7	28	14
ENSG00000185522.8	LMNTD2	protein_coding	protein_coding	8	14	11	40	38	44	41	11	20	17
ENSG00000185523.6	SPATA45	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	3
ENSG00000185527.11	PDE6G	protein_coding	protein_coding	21	45	27	8	11	14	16	1	0	4
ENSG00000185532.16	PRKG1	protein_coding	protein_coding	19	21	26	10	15	14	19	6	15	158
ENSG00000185551.14	NR2F2	protein_coding	protein_coding	18	18	24	146	131	138	152	167	247	1170
ENSG00000185559.14	DLK1	protein_coding	protein_coding	17	14	10	4398	5226	4834	5432	8570	13267	52981
ENSG00000185561.9	TLCD2	protein_coding	protein_coding	9	7	7	5	7	7	10	4	12	51
ENSG00000185565.11	LSAMP	protein_coding	protein_coding	16	14	15	140	131	143	147	165	261	1036
ENSG00000185567.6	AHNAK2	protein_coding	protein_coding	94	104	76	511	591	612	694	41	73	265
ENSG00000185585.19	OLFML2A	protein_coding	protein_coding	214	220	195	84	92	67	94	36	62	152
ENSG00000185591.9	SP1	protein_coding	protein_coding	239	259	234	235	236	231	254	148	206	1181
ENSG00000185594.5	SPATA8	protein_coding	protein_coding	0	0	0	0	0	0	0	1	3	3
ENSG00000185608.8	MRPL40	protein_coding	protein_coding	55	45	39	79	78	68	85	24	37	220
ENSG00000185610.6	DBX2	protein_coding	protein_coding	0	1	1	0	0	1	0	0	0	0
ENSG00000185614.4	INKA1	protein_coding	protein_coding	8	7	15	1	11	9	5	1	2	18
ENSG00000185615.15	PDIA2	protein_coding	protein_coding	4	2	1	2	3	1	4	15	26	31
ENSG00000185619.18	PCGF3	protein_coding	protein_coding	107	109	95	121	155	149	152	81	152	847
ENSG00000185621.11	LMLN	protein_coding	protein_coding	12	8	17	42	32	43	31	31	56	264
ENSG00000185624.14	P4HB	protein_coding	protein_coding	847	1026	811	1303	1387	1380	1677	531	776	5037
ENSG00000185627.17	PSMD13	protein_coding	protein_coding	396	462	399	249	287	277	292	144	262	1573
ENSG00000185630.18	PBX1	protein_coding	protein_coding	340	424	364	184	239	218	250	222	386	2935
ENSG00000185633.10	NDUFA4L2	protein_coding	protein_coding	3	7	1	167	145	152	179	21	38	15
ENSG00000185634.11	SHC4	protein_coding	protein_coding	0	3	0	4	5	5	4	4	7	33
ENSG00000185640.5	KRT79	protein_coding	protein_coding	2	0	0	0	0	1	0	0	0	0
ENSG00000185650.9	ZFP36L1	protein_coding	protein_coding	451	532	453	917	986	924	1022	587	944	1390
ENSG00000185651.14	UBE2L3	protein_coding	protein_coding	262	273	295	148	132	151	170	119	196	1261
ENSG00000185652.11	NTF3	protein_coding	protein_coding	2	0	1	1	2	2	4	0	7	87
ENSG00000185658.13	BRWD1	protein_coding	protein_coding	165	196	176	222	224	235	258	138	213	981
ENSG00000185662.9	SMIM23	protein_coding	protein_coding	0	0	0	1	2	2	1	0	0	0
ENSG00000185664.14	PMEL	protein_coding	protein_coding	2228	2599	2225	2141	2427	2367	2717	345	521	2198
ENSG00000185666.14	SYN3	protein_coding	protein_coding	52	50	53	8	2	2	3	5	9	19
ENSG00000185668.7	POU3F1	protein_coding	protein_coding	11	9	7	1	3	4	3	2	2	39
ENSG00000185669.5	SNAI3	protein_coding	protein_coding	12	13	12	3	0	2	3	2	1	9
ENSG00000185670.7	ZBTB3	protein_coding	protein_coding	34	44	33	7	14	15	10	7	11	63
ENSG00000185674.9	LYG2	protein_coding	protein_coding	0	0	0	0	0	1	0	0	0	2
ENSG00000185681.12	MORN5	protein_coding	protein_coding	0	0	0	1	0	0	6	3	1	172
ENSG00000185686.17	PRAME	protein_coding	protein_coding	1	0	4	10	9	14	10	15	34	4
ENSG00000185689.16	C6orf201	protein_coding	protein_coding	2	0	0	0	1	1	2	0	0	1
ENSG00000185697.16	MYBL1	protein_coding	protein_coding	11	15	10	20	17	13	18	2	14	139
ENSG00000185700.10	TTTY8B	lncRNA	lincRNA	0	0	0	0	0	0	0	0	0	0
ENSG00000185716.11	MOSMO	protein_coding	protein_coding	22	27	10	27	31	24	25	16	34	138
ENSG00000185721.12	DRG1	protein_coding	protein_coding	143	166	138	84	117	116	135	65	77	951
ENSG00000185722.17	ANKFY1	protein_coding	protein_coding	104	115	107	140	165	155	169	123	185	1518
ENSG00000185728.16	YTHDF3	protein_coding	protein_coding	179	205	154	146	170	138	169	97	172	1132
ENSG00000185730.7	ZNF696	protein_coding	protein_coding	53	70	60	28	34	35	36	18	22	140
ENSG00000185736.15	ADARB2	protein_coding	protein_coding	1	4	2	2	6	1	2	9	21	52
ENSG00000185737.12	NRG3	protein_coding	protein_coding	13	12	14	2	5	8	6	10	8	152
ENSG00000185739.13	SRL	protein_coding	protein_coding	0	1	0	1	1	2	0	11	32	21
ENSG00000185742.6	C11orf87	protein_coding	protein_coding	0	2	0	2	3	3	2	2	3	9
ENSG00000185745.9	IFIT1	protein_coding	protein_coding	21	20	14	18	18	18	23	48	80	220
ENSG00000185753.12	CXorf38	protein_coding	protein_coding	96	94	86	69	83	86	83	34	61	250
ENSG00000185758.9	CLDN24	protein_coding	protein_coding	0	0	0	0	0	1	0	0	0	0
ENSG00000185760.15	KCNQ5	protein_coding	protein_coding	0	3	2	0	0	0	0	0	1	5
ENSG00000185761.10	ADAMTSL5	protein_coding	protein_coding	1	4	2	4	0	1	1	2	0	2
ENSG00000185774.15	KCNIP4	protein_coding	protein_coding	1	2	3	5	4	5	5	2	2	22
ENSG00000185775.9	SPATA31A6	protein_coding	protein_coding	1	0	0	0	0	0	0	0	0	0
ENSG00000185787.14	MORF4L1	protein_coding	protein_coding	1026	1064	997	612	648	640	753	537	806	5018
ENSG00000185792.9	NLRP9	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000185798.7	WDR53	protein_coding	protein_coding	35	38	31	26	23	25	28	14	22	101
ENSG00000185800.11	DMWD	protein_coding	protein_coding	27	45	39	65	69	73	62	44	91	489
ENSG00000185803.9	SLC52A2	protein_coding	protein_coding	78	89	76	52	82	51	56	23	49	330
ENSG00000185808.13	PIGP	protein_coding	protein_coding	18	19	15	25	19	14	34	12	19	155
