geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000213139.7	CRYGS	protein_coding	protein_coding	1.23563	1.63498	1.8647	5.31254	4.59636	2.66239	2.27723	1.46555	7.14949	1.56104
ENSG00000213145.9	CRIP1	protein_coding	protein_coding	26.2197	24.3019	10.1716	43.0968	36.8754	40.5933	37.6355	137.328	136.879	104.295
ENSG00000213160.9	KLHL23	protein_coding	protein_coding	7.18374	9.40638	14.305	7.20069	4.40972	3.60132	3.22918	18.088	11.3363	29.8984
ENSG00000213171.2	LINGO4	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0236053
ENSG00000213185.6	FAM24B	protein_coding	protein_coding	0.1	0.67578	0.760762	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213186.7	TRIM59	protein_coding	protein_coding	6.75017	6.44582	6.73512	2.73455	5.07806	4.50468	4.29884	8.17264	6.5636	5.84578
ENSG00000213190.3	MLLT11	protein_coding	protein_coding	11.3787	9.74587	12.2573	32.5387	36.4907	36.881	32.5968	54.6166	60.1809	49.6446
ENSG00000213199.7	ASIC3	protein_coding	protein_coding	4.15235	1.24565	2.13692	5.31798	3.20919	2.80471	4.82945	4.52617	7.41344	1.43325
ENSG00000213203.2	GIMAP1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213204.8	AL049697.1	protein_coding	protein_coding	0.374605	6.16579e-52	0.000126943	0.978069	4.7453e-88	3.22644e-137	8.34915e-157	1.24112e-63	2.39508e-05	0.828923
ENSG00000213213.13	CCDC183	protein_coding	protein_coding	1.34593	1.35449	1.55874	2.88549	1.83908	0.970512	1.69147	4.14474	8.69558	0.97281
ENSG00000213214.4	ARHGEF35	protein_coding	protein_coding	5.33547	5.43069	5.46441	0.952274	0.768346	1.72089	1.06594	0.246874	0.187349	0.256826
ENSG00000213215.5	OR2F1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.321249
ENSG00000213218.10	CSH2	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213221.4	DNLZ	protein_coding	protein_coding	14.4354	5.8082	11.7139	8.51759	9.57343	5.47934	6.52383	14.257	10.3406	12.4388
ENSG00000213231.12	TCL1B	protein_coding	protein_coding	9.64749	7.82542	8.27567	0.829347	0.1	1.97311	1.37791	0.667648	0.1	0.668901
ENSG00000213240.8	AC239799.1	protein_coding	protein_coding	0.0341896	0.109162	0.110373	0.572175	0.374599	1.22394e-05	0.0583732	0.368479	0.172075	1.46786
ENSG00000213246.6	SUPT4H1	protein_coding	protein_coding	47.654	71.1726	57.8151	91.5008	61.7019	86.6706	88.9213	73.3721	76.4267	114.048
ENSG00000213265.8	TSGA13	protein_coding	protein_coding	0.1	0.1	0.197298	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213279.2	Z97192.2	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213281.4	NRAS	protein_coding	protein_coding	21.2262	22.5339	20.3349	26.6762	23.7972	26.7926	26.5292	26.3694	23.2153	26.6619
ENSG00000213297.8	ZNF625-ZNF20	protein_coding	protein_coding	1.70682	0.509584	0.357087	5.68429	8.08994	7.52183	9.37152	4.80045	5.2326	7.09712
ENSG00000213316.9	LTC4S	protein_coding	protein_coding	2.55202	0.1	3.17565	0.1	1.3209	0.1	1.19108	0.1	1.05205	0.1
ENSG00000213337.8	ANKRD39	protein_coding	protein_coding	10.9705	7.39432	7.41188	19.2496	22.1117	14.3586	19.7451	8.91114	10.5461	12.5706
ENSG00000213339.8	QTRT1	protein_coding	protein_coding	20.5437	16.7115	15.791	22.5855	24.391	27.7936	25.2508	33.793	27.7467	28.5957
ENSG00000213341.10	CHUK	protein_coding	protein_coding	3.71827	3.98431	5.68648	3.43739	3.15638	4.6694	2.30238	6.33907	6.51336	9.88896
ENSG00000213347.10	MXD3	protein_coding	protein_coding	7.93726	6.54858	5.69148	3.32336	4.85293	3.59083	3.85896	13.9621	11.0353	16.1634
ENSG00000213366.12	GSTM2	protein_coding	protein_coding	16.3114	13.7962	12.2653	57.7641	58.5316	56.5529	57.0154	75.9562	82.1296	34.3395
ENSG00000213373.7	LINC00671	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0423569
ENSG00000213380.15	COG8	protein_coding	protein_coding	10.6812	7.60642	10.1359	13.3091	16.2849	14.1811	11.2957	15.0319	12.5152	16.9975
ENSG00000213390.10	ARHGAP19	protein_coding	protein_coding	13.4382	16.0243	16.0379	5.43921	6.71435	7.20438	9.34837	10.116	10.0751	6.76912
ENSG00000213397.10	HAUS7	protein_coding	protein_coding	15.819	11.635	26.1682	4.61197	9.74968	8.84526	16.1565	10.6289	10.2246	15.3946
ENSG00000213398.7	LCAT	protein_coding	protein_coding	7.08106	13.8639	15.6034	9.0684	10.5838	9.08044	8.24158	1.8661	5.34122	3.63601
ENSG00000213401.9	MAGEA12	protein_coding	protein_coding	0.628318	0.217265	0.494454	0.366502	0.1	0.264081	0.229879	0.1	0.282821	0.1
ENSG00000213402.2	PTPRCAP	protein_coding	protein_coding	0.932541	1.09667	2.38418	1.65325e-27	0.194181	0.188746	3.47175e-26	2.51934	2.71202e-05	0.455549
ENSG00000213413.2	PVRIG	protein_coding	protein_coding	2.45746e-216	1.00144	2.23767	0.478447	0.389936	0.335461	1.42788	0.1	0.00526346	1.54474
ENSG00000213416.3	KRTAP4-12	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213417.3	KRTAP2-4	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
