lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor
ENSG00000261971.7	ENSG00000261971	MMP25-AS1	MMP25	ENSG00000008516.16	ENSG00000008516	-0.7680224048174602	0.009472310359930871
ENSG00000265148.5	ENSG00000265148	TSPOAP1-AS1	TSPOAP1	ENSG00000005379.16	ENSG00000005379	0.9321941161636074	8.51656629131522e-5
ENSG00000265666.1	ENSG00000265666	RARA-AS1	RARA	ENSG00000131759.17	ENSG00000131759	0.8250505620935596	0.003299243348998397
ENSG00000266010.2	ENSG00000266010	GATA6-AS1	GATA6	ENSG00000141448.8	ENSG00000141448	0.7503302727650718	0.012417477508010097
ENSG00000266916.5	ENSG00000266916	ZNF793-AS1	ZNF793	ENSG00000188227.12	ENSG00000188227	0.8848875307145264	6.670802955747059e-4
ENSG00000267106.5	ENSG00000267106	ZNF561-AS1	ZNF561	ENSG00000171469.10	ENSG00000171469	0.7093911569330322	0.021585304387592083
ENSG00000268006.1	ENSG00000268006	PTOV1-AS1	PTOV1	ENSG00000104960.15	ENSG00000104960	0.8028083406125659	0.005174708569705403
ENSG00000269834.5	ENSG00000269834	ZNF528-AS1	ZNF528	ENSG00000167555.13	ENSG00000167555	0.7199385613308379	0.018882742946794335
ENSG00000269926.1	ENSG00000269926	DDIT4-AS1	DDIT4	ENSG00000168209.4	ENSG00000168209	-0.8015361310188898	0.005300821729073463
ENSG00000270362.1	ENSG00000270362	HMGN3-AS1	HMGN3	ENSG00000118418.14	ENSG00000118418	0.6532821948495252	0.040530952105720205
ENSG00000271826.5	ENSG00000271826	PLS3-AS1	PLS3	ENSG00000102024.17	ENSG00000102024	0.6761850057083816	0.0318160565372233
ENSG00000272620.1	ENSG00000272620	AFAP1-AS1	AFAP1	ENSG00000196526.10	ENSG00000196526	-0.6910732018956471	0.026893027928166995
ENSG00000273888.1	ENSG00000273888	FRMD6-AS1	FRMD6	ENSG00000139926.15	ENSG00000139926	0.7916508817410056	0.006356550076595482
ENSG00000281692.1	ENSG00000281692	PACRG-AS1	PACRG	ENSG00000112530.11	ENSG00000112530	-0.6590718380868501	0.038192449932297465
