lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor	lfc_lnc	lnc_deg_cmp	lfc_pc	pc_deg_cmp	both_deg	corr_type
ENSG00000173811.10	ENSG00000173811	CCDC13-AS1	CCDC13	ENSG00000244607.6	ENSG00000244607	0.7497369696825402	0.012526122322210839	0.737609320830159	FALSE	0.737609320830159	FALSE	FALSE	Positive Up
ENSG00000179818.13	ENSG00000179818	PCBP1-AS1	PCBP1	ENSG00000169564.6	ENSG00000169564	-0.811079887019879	0.004406364482095419	0.6609807031874645	FALSE	-0.6337960628210654	FALSE	FALSE	Negative
ENSG00000182912.6	ENSG00000182912	TSPEAR-AS2	TSPEAR	ENSG00000175894.16	ENSG00000175894	0.7919597507049955	0.006321474577342901	-0.9367664546060148	FALSE	-0.9030320669588773	FALSE	FALSE	Positive Down
ENSG00000184809.12	ENSG00000184809	B3GALT5-AS1	B3GALT5	ENSG00000183778.17	ENSG00000183778	0.9389730624400313	5.6350710609668494e-5	-3.0878586944008646	TRUE	-4.155790493577055	TRUE	TRUE	Positive Down
ENSG00000196951.10	ENSG00000196951	SCOC-AS1	SCOC	ENSG00000153130.17	ENSG00000153130	0.673143442719262	0.03289209523893966	2.9516481706737836	TRUE	0.26611240264835423	FALSE	FALSE	Positive Up
ENSG00000197291.8	ENSG00000197291	RAMP2-AS1	RAMP2	ENSG00000131477.10	ENSG00000131477	0.7319596788538838	0.01609928211494694	-1.1165234277993483	FALSE	-1.8950185160245865	FALSE	FALSE	Positive Down
ENSG00000197308.9	ENSG00000197308	GATA3-AS1	GATA3	ENSG00000107485.16	ENSG00000107485	-0.6584093176618301	0.03845531741572118	-0.9455023640732382	FALSE	-0.13917238169529592	FALSE	FALSE	Negative
ENSG00000198711.5	ENSG00000198711	SSBP3-AS1	SSBP3	ENSG00000157216.15	ENSG00000157216	0.8509494725799551	0.0017965575283010974	3.3888496516671425	FALSE	0.594760064842243	FALSE	FALSE	Positive Up
ENSG00000203362.2	ENSG00000203362	POLH-AS1	POLH	ENSG00000170734.11	ENSG00000170734	0.6894159039848683	0.027413330101462387	-0.8405597763058984	FALSE	-0.38362059146836686	FALSE	FALSE	Positive Down
ENSG00000203865.9	ENSG00000203865	ATP1A1-AS1	ATP1A1	ENSG00000163399.15	ENSG00000163399	-0.6413912905515488	0.04563177865757675	0.6040403740411256	FALSE	0.3586518341241951	FALSE	FALSE	Negative
ENSG00000204044.6	ENSG00000204044	SLC12A5-AS1	SLC12A5	ENSG00000124140.13	ENSG00000124140	-0.8562090775857085	0.0015664927689959887	-0.22416535315811423	FALSE	0.5231695836528217	FALSE	FALSE	Negative
