geneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	comparison	mean_norm_a	mean_norm_b	fc_norm	abs_fc_norm	direction	max_fpkm_pair	geneName	raw_biotype	biotype	fc_for_filter	lfc_equiv_for_filter	is_deg
ENSG00000250742.2	6.321177019410136	5.406542419668164	1.2071226711418992	4.478867433211033	7.504011559142611e-6	6.86069511314611e-5	ENSG00000250742	D14 vs D28	0.3016595409591377	14.347200324011467	47.56090352187771	47.56090352187771	Up	6.12556	LINC02381	lncRNA	lncRNA	47.56090352187771	5.5717042173332265	TRUE
ENSG00000164181.13	10.146012844084948	-2.9736073027567453	0.6643456007394494	-4.47599457187189	7.6056416925298205e-6	6.949870003001684e-5	ENSG00000164181	D14 vs D28	15.911625867342009	2.458528813075537	0.15451147692716755	6.472011140449926	Down	1.48538	ELOVL7	protein_coding	Protein-coding	6.472011140449926	2.694214091120491	TRUE
ENSG00000167749.11	4.867409200837824	-5.8439431811186004	1.3060457744114402	-4.474531670800076	7.657897571417606e-6	6.99385610368629e-5	ENSG00000167749	D14 vs D28	8.517966101466191	0	0	Inf	Down	4.55297	KLK4	protein_coding	Protein-coding	Inf	Inf	TRUE
ENSG00000163823.3	5.6845680805848335	-5.259973891086673	1.1764804104049984	-4.4709404802379575	7.787637149768315e-6	7.104701962856875e-5	ENSG00000163823	D14 vs D28	9.884274532086199	0.08495947858301478	0.008595418743906846	116.34104513045206	Down	1.61413	CCR1	protein_coding	Protein-coding	116.34104513045206	6.862216359322673	TRUE
ENSG00000148288.12	12.474872717100235	-2.505692536796255	0.5605104984182034	-4.470375744731776	7.80822970656943e-6	7.119662940823618e-5	ENSG00000148288	D14 vs D28	19.093911815966255	3.6494872519455424	0.1911335554034483	5.231943694497709	Down	5.29044	GBGT1	protein_coding	Protein-coding	5.231943694497709	2.387347014821846	TRUE
ENSG00000203685.9	11.20577337370599	2.9139892191811754	0.6518643165962698	4.4702388901982895	7.813227811102678e-6	7.120396230644189e-5	ENSG00000203685	D14 vs D28	3.007089816977768	22.137351449343615	7.3617194020471395	7.3617194020471395	Up	2.96337	STUM	protein_coding	Protein-coding	7.3617194020471395	2.8800427612691153	TRUE
ENSG00000280322.1	10.272241566491223	4.307384334559516	0.9637546401430234	4.469378569134869	7.844717971254013e-6	7.145258675748424e-5	ENSG00000280322	D14 vs D28	1.2289374349508833	22.329980408545012	18.17015233931536	18.17015233931536	Up	8.6465	AL035425.4	lncRNA	lncRNA	18.17015233931536	4.183498610125516	TRUE
ENSG00000140678.16	4.87558226261024	-5.8453143921571336	1.3087547102277055	-4.466317749595818	7.957739206424016e-6	7.240433882458036e-5	ENSG00000140678	D14 vs D28	8.53226895956792	0	0	Inf	Down	1.36382	ITGAX	protein_coding	Protein-coding	Inf	Inf	TRUE
ENSG00000101222.12	13.738930135369289	3.3387094954416616	0.7483127157638114	4.461650089740627	8.133095174999765e-6	7.388105397600107e-5	ENSG00000101222	D14 vs D28	2.9291327622388392	28.15199329954322	9.611033566817799	9.611033566817799	Up	12.1797	SPEF1	protein_coding	Protein-coding	9.611033566817799	3.2646915862063377	TRUE
ENSG00000113430.9	13.918058705513724	-2.456957984050157	0.5508338984272273	-4.460433519188643	8.179402921483197e-6	7.426198010745547e-5	ENSG00000113430	D14 vs D28	21.68064872792474	3.567938675632373	0.16456789279726936	6.076519441321988	Down	3.65462	IRX4	protein_coding	Protein-coding	6.076519441321988	2.603245201536496	TRUE
ENSG00000147724.11	4.619683563591041	5.720260191540772	1.2826454355183312	4.459736130608185	8.206061973242402e-6	7.442442317399012e-5	ENSG00000147724	D14 vs D28	0	10.779261648379096	Inf	Inf	Up	1.4588699999999999	FAM135B	protein_coding	Protein-coding	Inf	Inf	TRUE
ENSG00000102879.15	14.980162182645106	2.358939701992157	0.5289338011264989	4.459801390964608	8.203563749484331e-6	7.442442317399012e-5	ENSG00000102879	D14 vs D28	5.610710118360814	27.47276493502416	4.896486247813924	4.896486247813924	Up	15.2801	CORO1A	protein_coding	Protein-coding	4.896486247813924	2.291746832637772	TRUE
ENSG00000007968.6	8.325711825201337	3.954762826923454	0.8877907292531656	4.454611539197206	8.404522723566161e-6	7.598082364254861e-5	ENSG00000007968	D14 vs D28	1.1800085883962828	17.853316140941413	15.129818813611656	15.129818813611656	Up	1.40318	E2F2	protein_coding	Protein-coding	15.129818813611656	3.919322805623169	TRUE
ENSG00000173890.16	8.138188502761462	-3.7875323880637493	0.8506363744614064	-4.452586912312425	8.484188080225397e-6	7.657870559599511e-5	ENSG00000173890	D14 vs D28	13.476050268554577	1.021039481703976	0.07576696890827875	13.198363540325474	Down	3.69033	GPR160	protein_coding	Protein-coding	13.198363540325474	3.7222871563941764	TRUE
ENSG00000185052.11	8.837538193752964	3.997472544715227	0.8980810494083595	4.451126707716073	8.542091874224424e-6	7.706038036162713e-5	ENSG00000185052	D14 vs D28	1.2066381638365509	19.012071566974846	15.756232594637368	15.756232594637368	Up	2.76925	SLC24A3	protein_coding	Protein-coding	15.756232594637368	3.9778507142769786	TRUE
ENSG00000141433.12	8.709391735764987	3.598302465785019	0.8085869044755308	4.450112221541562	8.582543039653885e-6	7.738418254234925e-5	ENSG00000141433	D14 vs D28	1.4745167003045556	18.35589178304556	12.448751363246156	12.448751363246156	Up	5.51351	ADCYAP1	protein_coding	Protein-coding	12.448751363246156	3.6379291389966313	TRUE
ENSG00000255026.1	8.574297220633948	-3.9823175653379397	0.8949351793696714	-4.449839113647092	8.593464057754497e-6	7.743408235013663e-5	ENSG00000255026	D14 vs D28	14.07936935047285	1.2342010475154124	0.08766025073942407	11.40767898294709	Down	10.6278	AC136475.3	lncRNA	lncRNA	11.40767898294709	3.5119333842864866	TRUE
ENSG00000143217.8	7.538809074198094	-4.074157921686546	0.9160400252495323	-4.44757631695922	8.684460878306137e-6	7.817856669771028e-5	ENSG00000143217	D14 vs D28	12.558277967176439	0.8461838835603027	0.06738056648944807	14.841074394300351	Down	2.25405	NECTIN4	protein_coding	Protein-coding	14.841074394300351	3.8915236320766766	TRUE
ENSG00000204950.3	19.400412750389318	2.343510965967416	0.528336785221871	4.435638463036937	9.179980354085582e-6	8.229023571893612e-5	ENSG00000204950	D14 vs D28	7.335180857526294	35.487388607540026	4.837970500908377	4.837970500908377	Up	8.94521	LRRC10B	protein_coding	Protein-coding	4.837970500908377	2.2744019726409173	TRUE
ENSG00000188596.10	10.250887148268166	4.74962129541959	1.0715017982938904	4.432676924091236	9.30702744937847e-6	8.325327293759097e-5	ENSG00000188596	D14 vs D28	0.9054011148582822	22.71153519281468	25.084501024023588	25.084501024023588	Up	2.87234	CFAP54	protein_coding	Protein-coding	25.084501024023588	4.648724335468089	TRUE
ENSG00000101194.17	10.802110736719245	-3.1606846575120486	0.7137064681694729	-4.4285498289214456	9.4868802590025e-6	8.468362409955019e-5	ENSG00000101194	D14 vs D28	16.807476920405367	2.7949558251377513	0.1662924089304858	6.013503601466402	Down	4.04378	SLC17A9	protein_coding	Protein-coding	6.013503601466402	2.588205782235143	TRUE
ENSG00000280870.2	5.957064968340073	5.315458617471197	1.2051771500495525	4.410520575545799	1.0312240636922823e-5	9.176164650611934e-5	ENSG00000280870	D14 vs D28	0.3016595409591377	13.497605538181318	44.744500688641175	44.744500688641175	Up	7.11434	MIR325HG	lncRNA	lncRNA	44.744500688641175	5.483638474096472	TRUE
ENSG00000154678.16	17.189434688686983	2.050684717528418	0.4650825525473661	4.409291869360262	1.0370917509429393e-5	9.223543084080265e-5	ENSG00000154678	D14 vs D28	7.286252010971693	30.393678258974035	4.171373459661703	4.171373459661703	Up	3.06195	PDE1C	protein_coding	Protein-coding	4.171373459661703	2.0605224813190945	TRUE
ENSG00000184254.16	7.812865833288089	-4.012490869797364	0.9102729510270642	-4.408008460835902	1.043254707893613e-5	9.268643867408561e-5	ENSG00000184254	D14 vs D28	13.35391716356785	0.4247973929150739	0.031810695521910674	31.43596779615261	Down	6.34143	ALDH1A3	protein_coding	Protein-coding	31.43596779615261	4.974344273884673	TRUE
ENSG00000267696.6	8.457626159800485	-3.381871951154798	0.7672689111691396	-4.407674938896729	1.0448620040175223e-5	9.278068569147226e-5	ENSG00000267696	D14 vs D28	13.751458256872999	1.3991833637037983	0.10174799919888383	9.828203088744077	Down	25.1086	ERVK-28	lncRNA	lncRNA	9.828203088744077	3.29692766967573	TRUE
ENSG00000279348.1	11.2206993455598	4.445124112949316	1.0087305191044855	4.406651755610147	1.0498076578040189e-5	9.317111559956422e-5	ENSG00000279348	D14 vs D28	1.201885367529746	24.57911798293321	20.450467779178524	20.450467779178524	Up	7.51142	AC012513.3	lncRNA	lncRNA	20.450467779178524	4.35406193829804	TRUE
ENSG00000116745.6	10.391999632497251	4.791921581049578	1.0875816769447428	4.406033756022024	1.052805637648071e-5	9.338837051195898e-5	ENSG00000116745	D14 vs D28	0.8636236973545465	23.096500879354192	26.743709036821745	26.743709036821745	Up	5.7118	RPE65	protein_coding	Protein-coding	26.743709036821745	4.741127658970504	TRUE
ENSG00000242173.8	17.321430311320988	2.5050505840179493	0.5686517552909239	4.405245496404663	1.056641432021602e-5	9.358194174680625e-5	ENSG00000242173	D14 vs D28	5.598805893003146	32.951596202411444	5.885468586005314	5.885468586005314	Up	24.8165	ARHGDIG	protein_coding	Protein-coding	5.885468586005314	2.5571572835379115	TRUE
ENSG00000115221.11	9.66384111385219	-2.899861297521843	0.6598585827620027	-4.394670878392989	1.1094070724767444e-5	9.774526868972583e-5	ENSG00000115221	D14 vs D28	15.383865207418603	2.037142322430308	0.1324207079926787	7.551688970393424	Down	5.101	ITGB6	protein_coding	Protein-coding	7.551688970393424	2.916799345987952	TRUE
ENSG00000153789.12	7.742597079352346	4.2903240694166165	0.9768433343530196	4.39202881213104	1.1229781284827558e-5	9.878716406932761e-5	ENSG00000153789	D14 vs D28	0.8855004764880098	16.88539254983813	19.068756029141188	19.068756029141188	Up	7.02522	FAM92B	protein_coding	Protein-coding	19.068756029141188	4.253138825841315	TRUE
